"PROBEID","SYMBOL","GENENAME"
"1558849_at","LINC00908","long intergenic non-protein coding RNA 908"
"1558856_at","DMRTA2","DMRT like family A2"
"1558858_at","LNC-LBCS","lncRNA bladder and prostate cancer suppressor, hnRNPK interacting"
"1558862_at","NBPF5P","NBPF member 5, pseudogene"
"1558871_at","LOC105377276","uncharacterized LOC105377276"
"1558875_at","SREBF1","sterol regulatory element binding transcription factor 1"
"1558881_at","LINC00924","long intergenic non-protein coding RNA 924"
"1558882_at","HTATSF1P2","HIV-1 Tat specific factor 1 pseudogene 2"
"1558887_at","ZNF321P","zinc finger protein 321, pseudogene"
"1558887_at","ZNF816-ZNF321P","ZNF816-ZNF321P readthrough"
"1558890_at","FAM53A","family with sequence similarity 53 member A"
"1558896_at","IBA57","iron-sulfur cluster assembly factor IBA57"
"1558897_at","PLK5","polo like kinase 5 (inactive)"
"1558899_s_at","RGMB-AS1","RGMB antisense RNA 1"
"1558903_at","LINC00907","long intergenic non-protein coding RNA 907"
"1558906_a_at","OSER1-DT","OSER1 divergent transcript"
"1558914_at","DESI2","desumoylating isopeptidase 2"
"1558915_a_at","PEX14","peroxisomal biogenesis factor 14"
"1558919_a_at","SEC23IP","SEC23 interacting protein"
"1558920_at","SLC8A1-AS1","SLC8A1 antisense RNA 1"
"1558924_s_at","CLIP1","CAP-Gly domain containing linker protein 1"
"1558930_at","LINC00460","long intergenic non-protein coding RNA 460"
"1558931_at","CARMIL1","capping protein regulator and myosin 1 linker 1"
"1558934_a_at","GTF2H5","general transcription factor IIH subunit 5"
"1558941_at","ZNF704","zinc finger protein 704"
"1558942_at","ZNF765","zinc finger protein 765"
"1558944_at","CACNA1A","calcium voltage-gated channel subunit alpha1 A"
"1558953_s_at","CEP164","centrosomal protein 164"
"1558954_at","SNORA78","small nucleolar RNA, H/ACA box 78"
"1558956_s_at","IFT80","intraflagellar transport 80"
"1558960_a_at","MFGE8","milk fat globule EGF and factor V/VIII domain containing"
"1558963_at","RRP8","ribosomal RNA processing 8"
"1558964_at","FAT3","FAT atypical cadherin 3"
"1558967_s_at","HCG18","HLA complex group 18"
"1558968_at","SCML1","Scm polycomb group protein like 1"
"1558969_a_at","RPL32P3","ribosomal protein L32 pseudogene 3"
"1558971_at","THEMIS","thymocyte selection associated"
"1558975_at","UBALD1","UBA like domain containing 1"
"1558977_at","LOC100130992","uncharacterized LOC100130992"
"1558982_at","ANKRD20A12P","ankyrin repeat domain 20 family member A12, pseudogene"
"1558984_at","MAP3K11","mitogen-activated protein kinase kinase kinase 11"
"1558990_at","C18orf21","chromosome 18 open reading frame 21"
"1558996_at","FOXP1","forkhead box P1"
"1558999_x_at","PDPR2P","pyruvate dehydrogenase phosphatase regulatory subunit 2, pseudogene"
"1558999_x_at","PDPR","pyruvate dehydrogenase phosphatase regulatory subunit"
"1559002_at","MORF4L2-AS1","MORF4L2 antisense RNA 1"
"1559003_a_at","CCDC163","CCDC163 homolog"
"1559005_s_at","CNTLN","centlein"
"1559009_at","GTF2A1-AS1","GTF2A1 antisense RNA 1"
"1559017_at","LOC100507351","uncharacterized LOC100507351"
"1559018_at","PTPRE","protein tyrosine phosphatase receptor type E"
"1559021_at","C3orf52","chromosome 3 open reading frame 52"
"1559022_at","EFCAB14","EF-hand calcium binding domain 14"
"1559022_at","LOC105378698","uncharacterized LOC105378698"
"1559025_at","SEPTIN9","septin 9"
"1559026_at","PPP1R26-AS1","PPP1R26 antisense RNA 1"
"1559028_at","CYP4F35P","cytochrome P450 family 4 subfamily F member 35, pseudogene"
"1559031_at","EXOSC10","exosome component 10"
"1559033_at","LINC01018","long intergenic non-protein coding RNA 1018"
"1559034_at","SIRPB2","signal regulatory protein beta 2"
"1559036_at","C4A","complement C4A (Chido/Rodgers blood group)"
"1559036_at","C4B","complement C4B (Chido/Rodgers blood group)"
"1559036_at","C4B_2","complement component 4B (Chido/Rodgers blood group), copy 2"
"1559039_at","DHX36","DEAH-box helicase 36"
"1559042_at","NDUFB6","NADH:ubiquinone oxidoreductase subunit B6"
"1559044_at","EXOSC1","exosome component 1"
"1559045_at","LOC100128288","uncharacterized LOC100128288"
"1559048_at","BAHCC1","BAH domain and coiled-coil containing 1"
"1559050_at","HCG27","HLA complex group 27"
"1559051_s_at","CGAS","cyclic GMP-AMP synthase"
"1559052_s_at","PAK2","p21 (RAC1) activated kinase 2"
"1559059_s_at","ZNF611","zinc finger protein 611"
"1559060_a_at","FNIP1","folliculin interacting protein 1"
"1559061_at","CACNA1G-AS1","CACNA1G antisense RNA 1"
"1559062_at","ZPR1","ZPR1 zinc finger"
"1559064_at","NUP153-AS1","NUP153 antisense RNA 1"
"1559064_at","NUP153","nucleoporin 153"
"1559065_a_at","CLEC4G","C-type lectin domain family 4 member G"
"1559069_at","MTHFS","methenyltetrahydrofolate synthetase"
"1559069_at","ST20-MTHFS","ST20-MTHFS readthrough"
"1559072_a_at","ELFN2","extracellular leucine rich repeat and fibronectin type III domain containing 2"
"1559073_at","KDM4B","lysine demethylase 4B"
"1559077_at","ABI3BP","ABI family member 3 binding protein"
"1559078_at","BCL11A","BCL11 transcription factor A"
"1559079_at","LINC00567","long intergenic non-protein coding RNA 567"
"1559083_x_at","LOC284600","uncharacterized LOC284600"
"1559092_at","SLC9A5","solute carrier family 9 member A5"
"1559093_at","LINC01530","long intergenic non-protein coding RNA 1530"
"1559094_at","FBXO9","F-box protein 9"
"1559097_at","LINC01550","long intergenic non-protein coding RNA 1550"
"1559105_at","LEKR1","leucine, glutamate and lysine rich 1"
"1559110_at","OPRD1","opioid receptor delta 1"
"1559124_at","PDE7B-AS1","PDE7B antisense RNA 1"
"1559126_at","RRP12","ribosomal RNA processing 12 homolog"
"1559128_at","HSDL2","hydroxysteroid dehydrogenase like 2"
"1559129_a_at","LINC02603","long intergenic non-protein coding RNA 2603"
"1559131_a_at","LOC101928047","uncharacterized LOC101928047"
"1559132_at","TMEM80","transmembrane protein 80"
"1559133_at","ZNF546","zinc finger protein 546"
"1559136_s_at","EOLA2-DT","EOLA2 divergent transcript"
"1559138_a_at","SPATA19","spermatogenesis associated 19"
"1559139_at","NOC2L","NOC2 like nucleolar associated transcriptional repressor"
"1559140_at","FAM87A","family with sequence similarity 87 member A"
"1559140_at","FAM87B","family with sequence similarity 87 member B"
"1559142_at","KAT6A","lysine acetyltransferase 6A"
"1559144_x_at","LINC00910","long intergenic non-protein coding RNA 910"
"1559152_at","HSPA1B","heat shock protein family A (Hsp70) member 1B"
"1559159_at","CEP68","centrosomal protein 68"
"1559170_at","ANKRD20A5P","ankyrin repeat domain 20 family member A5, pseudogene"
"1559174_at","RAB6A","RAB6A, member RAS oncogene family"
"1559186_at","PRKXP1","PRKX pseudogene 1"
"1559190_s_at","RDH13","retinol dehydrogenase 13"
"1559194_a_at","CLEC4GP1","C-type lectin domain family 4 member G pseudogene 1"
"1559203_s_at","KRAS","KRAS proto-oncogene, GTPase"
"1559205_s_at","LINC02273","long intergenic non-protein coding RNA 2273"
"1559206_at","PSEN1","presenilin 1"
"1559208_at","ST7-OT4","ST7 overlapping transcript 4"
"1559213_at","LINC01419","long intergenic non-protein coding RNA 1419"
"1559214_at","FBXO22","F-box protein 22"
"1559218_s_at","NFYC","nuclear transcription factor Y subunit gamma"
"1559220_at","TWF2-DT","TWF2 divergent transcript"
"1559221_at","LINC01013","long intergenic non-protein coding RNA 1013"
"1559222_at","SPDL1","spindle apparatus coiled-coil protein 1"
"1559224_at","LCE1E","late cornified envelope 1E"
"1559227_s_at","VHL","von Hippel-Lindau tumor suppressor"
"1559228_at","CLU","clusterin"
"1559235_a_at","SOX30","SRY-box transcription factor 30"
"1559240_at","LOC100507053","uncharacterized LOC100507053"
"1559249_at","ATXN1","ataxin 1"
"1559252_a_at","LINC01730","long intergenic non-protein coding RNA 1730"
"1559254_at","PICSAR","P38 inhibited cutaneous squamous cell carcinoma associated lincRNA"
"1559258_a_at","CT83","cancer/testis antigen 83"
"1559263_s_at","ZC3H12D","zinc finger CCCH-type containing 12D"
"1559264_at","LACTB2-AS1","LACTB2 antisense RNA 1"
"1559265_at","SKIDA1","SKI/DACH domain containing 1"
"1559268_at","ADAM23","ADAM metallopeptidase domain 23"
"1559270_at","ZFHX4","zinc finger homeobox 4"
"1559274_at","ZNF732","zinc finger protein 732"
"1559276_at","PCAT18","prostate cancer associated transcript 18"
"1559280_a_at","APELA","apelin receptor early endogenous ligand"
"1559283_a_at","CNPY1","canopy FGF signaling regulator 1"
"1559284_at","LOC101929774","uncharacterized LOC101929774"
"1559289_at","TADA1","transcriptional adaptor 1"
"1559291_at","REXO6P","RNA exonuclease 6, pseudogene"
"1559298_a_at","SPATA41","spermatogenesis associated 41"
"1559302_at","FAM234B","family with sequence similarity 234 member B"
"1559303_at","LINC01532","long intergenic non-protein coding RNA 1532"
"1559309_at","MCFD2","multiple coagulation factor deficiency 2, ER cargo receptor complex subunit"
"1559313_at","ANKRD18A","ankyrin repeat domain 18A"
"1559315_s_at","SOCS2-AS1","SOCS2 antisense RNA 1"
"1559316_at","LINC02241","long intergenic non-protein coding RNA 2241"
"1559321_at","LINC02997","long intergenic non-protein coding RNA 2997"
"1559324_at","USP32P2","ubiquitin specific peptidase 32 pseudogene 2"
"1559326_at","DIO3OS","DIO3 opposite strand upstream RNA"
"1559333_at","SRGAP3-AS2","SRGAP3 antisense RNA 2"
"1559336_at","LOC101928505","uncharacterized LOC101928505"
"1559340_at","TTLL11","tubulin tyrosine ligase like 11"
"1559342_a_at","SNHG14","small nucleolar RNA host gene 14"
"1559342_a_at","SNRPN","small nuclear ribonucleoprotein polypeptide N"
"1559344_at","MAPK10-AS1","MAPK10 antisense RNA 1"
"1559348_a_at","LINC01852","long intergenic non-protein coding RNA 1852"
"1559352_a_at","MILIP","MYC inducible lncRNA inactivating p53"
"1559355_at","NXPH2","neurexophilin 2"
"1559361_at","MACC1","MET transcriptional regulator MACC1"
"1559361_at","LOC101927668","uncharacterized LOC101927668"
"1559363_at","HISLA","HIF1A stabilizing long noncoding RNA"
"1559369_at","TRAPPC13","trafficking protein particle complex subunit 13"
"1559370_at","DAB2","DAB adaptor protein 2"
"1559372_at","LINC01635","long intergenic non-protein coding RNA 1635"
"1559376_at","ATP1A1-AS1","ATP1A1 antisense RNA 1"
"1559382_at","SMIM7","small integral membrane protein 7"
"1559390_a_at","SPATA45","spermatogenesis associated 45"
"1559392_s_at","SYT7","synaptotagmin 7"
"1559397_s_at","PRR14","proline rich 14"
"1559399_s_at","ZCCHC10","zinc finger CCHC-type containing 10"
"1559402_a_at","MIR9-1HG","MIR9-1 host gene"
"1559403_at","HMGN3-AS1","HMGN3 antisense RNA 1"
"1559405_a_at","TRPV6","transient receptor potential cation channel subfamily V member 6"
"1559409_a_at","CC2D2A","coiled-coil and C2 domain containing 2A"
"1559410_at","LINC02754","long intergenic non-protein coding RNA 2754"
"1559412_at","MIR99AHG","mir-99a-let-7c cluster host gene"
"1559429_a_at","SMCO1","single-pass membrane protein with coiled-coil domains 1"
"1559432_at","ACKR2","atypical chemokine receptor 2"
"1559441_s_at","FLJ38576","uncharacterized LOC651430"
"1559443_s_at","IL21R-AS1","IL21R antisense RNA 1"
"1559444_at","SMC2","structural maintenance of chromosomes 2"
"1559449_a_at","ZNF254","zinc finger protein 254"
"1559458_at","LTBR","lymphotoxin beta receptor"
"1559459_at","LOC613266","uncharacterized LOC613266"
"1559461_at","CEP72","centrosomal protein 72"
"1559469_s_at","SIPA1L2","signal induced proliferation associated 1 like 2"
"1559470_at","D21S2088E","D21S2088E"
"1559474_at","SPEG","striated muscle enriched protein kinase"
"1559474_at","SPEGNB","SPEG neighbor"
"1559477_s_at","MEIS1","Meis homeobox 1"
"1559479_at","SEPSECS-AS1","SEPSECS antisense RNA 1 (head to head)"
"1559483_at","PROX1-AS1","PROX1 antisense RNA 1"
"1559485_at","ATG2B","autophagy related 2B"
"1559488_at","LINC01366","long intergenic non-protein coding RNA 1366"
"1559492_at","GIHCG","GIHCG inhibitor of miR-200b/200a/429 expression"
"1559494_at","SLC35G2","solute carrier family 35 member G2"
"1559497_at","LINC01583","long intergenic non-protein coding RNA 1583"
"1559500_at","VPS8","VPS8 subunit of CORVET complex"
"1559501_at","CBR3-AS1","CBR3 antisense RNA 1"
"1559502_s_at","LRRC25","leucine rich repeat containing 25"
"1559503_a_at","LOC441666","zinc finger protein 91 pseudogene"
"1559504_at","MIR137HG","MIR137 host gene"
"1559504_at","MIR2682","microRNA 2682"
"1559507_at","LOC100130357","uncharacterized LOC100130357"
"1559510_at","LINC00630","long intergenic non-protein coding RNA 630"
"1559513_a_at","FANCC","FA complementation group C"
"1559514_at","LOC100132077","uncharacterized LOC100132077"
"1559520_at","GYPA","glycophorin A (MNS blood group)"
"1559522_at","LOC100505918","uncharacterized LOC100505918"
"1559526_at","LOC101930421","uncharacterized LOC101930421"
"1559528_at","PCGF3-AS1","PCGF3 antisense RNA 1"
"1559529_at","PTK2","protein tyrosine kinase 2"
"1559532_at","ARIH2OS","ARIH2 opposite strand lncRNA"
"1559534_at","MRNIP-DT","MRNIP divergent transcript"
"1559537_at","RNF130","ring finger protein 130"
"1559538_at","GAU1","GALNT8 antisense upstream 1"
"1559540_at","LINC03123","long intergenic non-protein coding RNA 3123"
"1559542_a_at","LOC101929622","uncharacterized LOC101929622"
"1559543_at","RB1-DT","RB1 divergent transcript"
"1559548_at","ACVR2B","activin A receptor type 2B"
"1559559_at","SPATA31E1","SPATA31 subfamily E member 1"
"1559561_at","FBH1","F-box DNA helicase 1"
"1559566_at","FBXO42","F-box protein 42"
"1559567_at","PRDM11","PR/SET domain 11"
"1559568_at","ZC3H14","zinc finger CCCH-type containing 14"
"1559573_at","LINC01093","long intergenic non-protein coding RNA 1093"
"1559577_at","FCN2","ficolin 2"
"1559579_at","LINC00927","long intergenic non-protein coding RNA 927"
"1559580_at","LRRC39","leucine rich repeat containing 39"
"1559582_at","RHOQ","ras homolog family member Q"
"1559584_a_at","C16orf54","chromosome 16 open reading frame 54"
"1559585_at","DDX60L","DExD/H-box 60 like"
"1559589_a_at","ERCC6L2","ERCC excision repair 6 like 2"
"1559590_at","CHDH","choline dehydrogenase"
"1559593_a_at","MED26","mediator complex subunit 26"
"1559595_at","LINC02458","long intergenic non-protein coding RNA 2458"
"1559600_at","HIC2","HIC ZBTB transcriptional repressor 2"
"1559601_at","USF3","upstream transcription factor family member 3"
"1559603_at","GPR12","G protein-coupled receptor 12"
"1559605_a_at","LINC01936","long intergenic non-protein coding RNA 1936"
"1559606_at","GBP6","guanylate binding protein family member 6"
"1559611_at","LINC02912","long intergenic non-protein coding RNA 2912"
"1559620_at","HDAC2-AS2","HDAC2 and HS3ST5 antisense RNA 2"
"1559621_at","LOC101927237","uncharacterized LOC101927237"
"1559623_at","C11orf54","chromosome 11 open reading frame 54"
"1559627_at","LINC02860","long intergenic non-protein coding RNA 2860"
"1559638_at","PIK3CD-AS1","PIK3CD antisense RNA 1"
"1559645_at","LINC00184","long intergenic non-protein coding RNA 184"
"1559648_at","LINC00892","long intergenic non-protein coding RNA 892"
"1559650_at","JAZF1-AS1","JAZF1 antisense RNA 1"
"1559651_at","CSNK1A1P1","casein kinase 1 alpha 1 pseudogene 1"
"1559653_at","GRTP1-AS1","GRTP1 antisense RNA 1"
"1559655_at","MAMDC2-AS1","MAMDC2 antisense RNA 1"
"1559658_at","KATNBL1","katanin regulatory subunit B1 like 1"
"1559661_at","TENM3","teneurin transmembrane protein 3"
"1559665_at","LINC02318","long intergenic non-protein coding RNA 2318"
"1559667_at","LINC02846","long intergenic non-protein coding RNA 2846"
"1559670_at","LOC100506489","uncharacterized LOC100506489"
"1559678_s_at","GS1-24F4.2","uncharacterized LOC100652791"
"1559681_a_at","TRIM16L","tripartite motif containing 16 like (pseudogene)"
"1559687_at","TMEM221","transmembrane protein 221"
"1559688_at","GRAPL","GRB2 related adaptor protein like"
"1559701_s_at","NDST2","N-deacetylase and N-sulfotransferase 2"
"1559705_s_at","PHKA2","phosphorylase kinase regulatory subunit alpha 2"
"1559709_at","ZNF138","zinc finger protein 138"
"1559712_at","LINC00689","long intergenic non-protein coding RNA 689"
"1559715_at","LINC01968","long intergenic non-protein coding RNA 1968"
"1559716_at","INO80C","INO80 complex subunit C"
"1559722_at","AOPEP","aminopeptidase O (putative)"
"1559725_at","LINC01537","long intergenic non-protein coding RNA 1537"
"1559728_at","ZBTB40","zinc finger and BTB domain containing 40"
"1559731_x_at","MACROD1","mono-ADP ribosylhydrolase 1"
"1559739_at","CHPT1","choline phosphotransferase 1"
"1559747_at","SPG11","SPG11 vesicle trafficking associated, spatacsin"
"1559748_at","ADAMTSL3","ADAMTS like 3"
"1559754_at","LTB","lymphotoxin beta"
"1559756_at","LINC02656","long intergenic non-protein coding RNA 2656"
"1559759_at","KIFC3","kinesin family member C3"
"1559763_at","ZC3H12C","zinc finger CCCH-type containing 12C"
"1559765_a_at","NALT1","NOTCH1 associated lncRNA in T cell acute lymphoblastic leukemia 1"
"1559766_at","ALDH1L1-AS2","ALDH1L1 antisense RNA 2"
"1559777_at","MIR3945HG","MIR3945 host gene"
"1559785_at","TPPP2","tubulin polymerization promoting protein family member 2"
"1559787_at","LINC01800","long intergenic non-protein coding RNA 1800"
"1559790_at","LINC02223","long intergenic non-protein coding RNA 2223"
"1559796_at","EBF3","EBF transcription factor 3"
"1559804_at","LOC105375875","uncharacterized LOC105375875"
"1559812_at","FAM53B-AS1","FAM53B antisense RNA 1"
"1559813_at","LOC105370475","uncharacterized LOC105370475"
"1559817_at","SLC38A4-AS1","SLC38A4 antisense RNA 1"
"1559820_at","ATG10","autophagy related 10"
"1559822_s_at","MTDH","metadherin"
"1559826_a_at","LINC00960","long intergenic non-protein coding RNA 960"
"1559826_a_at","LOC105379476","uncharacterized LOC105379476"
"1559828_at","FAM170B","family with sequence similarity 170 member B"
"1559833_at","ARHGEF12","Rho guanine nucleotide exchange factor 12"
"1559835_at","LINC01410","long intergenic non-protein coding RNA 1410"
"1559837_at","LINC01490","long intergenic non-protein coding RNA 1490"
"1559839_at","TBX18","T-box transcription factor 18"
"1559848_at","NSUN4","NOP2/Sun RNA methyltransferase 4"
"1559849_at","ZNF605","zinc finger protein 605"
"1559856_s_at","KMT2A","lysine methyltransferase 2A"
"1559861_at","PCAT7","prostate cancer associated transcript 7"
"1559862_at","COPA","COPI coat complex subunit alpha"
"1559864_at","LCN6","lipocalin 6"
"1559870_at","TDH-AS1","TDH antisense RNA 1"
"1559880_at","LZTS1-AS1","LZTS1 antisense RNA 1"
"1559882_at","SAMHD1","SAM and HD domain containing deoxynucleoside triphosphate triphosphohydrolase 1"
"1559884_at","CDKN2B-AS1","CDKN2B antisense RNA 1"
"1559890_a_at","ABI1","abl interactor 1"
"1559893_at","GPATCH11","G-patch domain containing 11"
"1559909_a_at","TIMM17B","translocase of inner mitochondrial membrane 17B"
"1559920_a_at","HDHD5-AS1","HDHD5 antisense RNA 1"
"1559923_at","GRIK1","glutamate ionotropic receptor kainate type subunit 1"
"1559924_at","SLC38A2-AS1","SLC38A2 antisense RNA 1"
"1559929_at","LINC01186","long intergenic non-protein coding RNA 1186"
"1559930_at","LOC101928211","uncharacterized LOC101928211"
"1559939_at","LOC105369167","uncharacterized LOC105369167"
"1559942_at","MDFIC","MyoD family inhibitor domain containing"
"1559945_at","RUVBL2","RuvB like AAA ATPase 2"
"1559948_at","LOC101927253","uncharacterized LOC101927253"
"1559953_at","DDX42","DEAD-box helicase 42"
"1559957_a_at","LINC00205","long intergenic non-protein coding RNA 205"
"1559960_x_at","SYCE1L","synaptonemal complex central element protein 1 like"
"1559964_at","LOC401261","uncharacterized LOC401261"
"1559965_at","ZFHX4-AS1","ZFHX4 antisense RNA 1"
"1559970_at","FLRT2-AS1","FLRT2 antisense RNA 1"
"1559971_at","BSDC1","BSD domain containing 1"
"1559975_at","BTG1","BTG anti-proliferation factor 1"
"1559976_at","GPRC5D-AS1","GPRC5D and HEBP1 antisense RNA 1"
"1559977_a_at","SLC25A34","solute carrier family 25 member 34"
"1559979_at","SYF2","SYF2 pre-mRNA splicing factor"
"1559980_at","ZNF7","zinc finger protein 7"
"1559986_at","LIFR-AS1","LIFR antisense RNA 1"
"1559988_at","ZNF483","zinc finger protein 483"
"1559989_at","TPM4","tropomyosin 4"
"1559992_a_at","LINC00645","long intergenic non-protein coding RNA 645"
"1559993_at","SFXN3","sideroflexin 3"
"1560006_a_at","MIR550A3HG","MIR550A3 host gene"
"1560017_at","TMTC3","transmembrane O-mannosyltransferase targeting cadherins 3"
"1560019_at","DLGAP1-AS2","DLGAP1 antisense RNA 2"
"1560020_at","DNAJC13","DnaJ heat shock protein family (Hsp40) member C13"
"1560033_at","MCCC2","methylcrotonyl-CoA carboxylase subunit 2"
"1560034_a_at","FCN1","ficolin 1"
"1560035_at","RTP5","receptor transporter protein 5 (putative)"
"1560038_at","LOC100506071","uncharacterized LOC100506071"
"1560043_at","CYB5R1","cytochrome b5 reductase 1"
"1560058_at","LOC399900","uncharacterized LOC399900"
"1560059_at","VPS37C","VPS37C subunit of ESCRT-I"
"1560065_at","PAIP2","poly(A) binding protein interacting protein 2"
"1560068_a_at","LOC729870","uncharacterized LOC729870"
"1560069_at","PLEKHM3","pleckstrin homology domain containing M3"
"1560070_at","LOC101928191","uncharacterized LOC101928191"
"1560074_at","PRKCA","protein kinase C alpha"
"1560078_at","LAMA3","laminin subunit alpha 3"
"1560080_at","DIAPH1","diaphanous related formin 1"
"1560081_at","RAD51-AS1","RAD51 antisense RNA 1"
"1560089_at","SLC25A25-AS1","SLC25A25 antisense RNA 1"
"1560091_a_at","PHF21B","PHD finger protein 21B"
"1560099_at","CCDC144NL-AS1","CCDC144NL antisense RNA 1"
"1560099_at","LOC339260","uncharacterized LOC339260"
"1560100_at","DLX1","distal-less homeobox 1"
"1560101_at","SYDE2","synapse defective Rho GTPase homolog 2"
"1560105_at","PTPRB","protein tyrosine phosphatase receptor type B"
"1560107_at","LOC105372793","salivary glue protein Sgs-3"
"1560112_at","WDFY2","WD repeat and FYVE domain containing 2"
"1560117_at","ABHD1","abhydrolase domain containing 1"
"1560119_at","LINC00937","long intergenic non-protein coding RNA 937"
"1560128_x_at","CARINH","colitis associated IRF1 antisense regulator of intestinal homeostasis"
"1560130_at","OBSCN-AS1","OBSCN antisense RNA 1"
"1560132_a_at","LOC101927432","uncharacterized LOC101927432"
"1560135_at","LOC102723409","uncharacterized LOC102723409"
"1560136_at","ARL5C","ARF like GTPase 5C"
"1560145_at","MKLN1","muskelin 1"
"1560147_at","WDR86-AS1","WDR86 antisense RNA 1"
"1560163_at","LOC112268198","uncharacterized LOC112268198"
"1560164_at","TRDN-AS1","TRDN antisense RNA 1"
"1560169_at","LOC101927069","uncharacterized LOC101927069"
"1560172_at","INTS10","integrator complex subunit 10"
"1560174_at","SPAG16","sperm associated antigen 16"
"1560175_at","PPP4R1L","protein phosphatase 4 regulatory subunit 1 like (pseudogene)"
"1560177_at","CCDC66","coiled-coil domain containing 66"
"1560178_at","PCP2","Purkinje cell protein 2"
"1560180_at","GALNT14","polypeptide N-acetylgalactosaminyltransferase 14"
"1560181_at","LDLRAD4-AS1","LDLRAD4 antisense RNA 1"
"1560182_at","LOC101927066","uncharacterized LOC101927066"
"1560185_at","LOC105376360","uncharacterized LOC105376360"
"1560197_at","ZC2HC1A","zinc finger C2HC-type containing 1A"
"1560198_at","LINC00523","long intergenic non-protein coding RNA 523"
"1560201_at","ZNF713","zinc finger protein 713"
"1560202_at","CSTF3-DT","CSTF3 divergent transcript"
"1560204_at","NT5DC4","5'-nucleotidase domain containing 4"
"1560207_at","RAD21-AS1","RAD21 antisense RNA 1"
"1560212_a_at","LOC101929248","uncharacterized LOC101929248"
"1560213_at","HCP5B","HLA complex P5B"
"1560219_at","ASB3","ankyrin repeat and SOCS box containing 3"
"1560220_a_at","CBY1","chibby 1, beta catenin antagonist"
"1560224_at","AHCTF1","AT-hook containing transcription factor 1"
"1560224_at","AHCTF1P1","AT-hook containing transcription factor 1 pseudogene 1"
"1560225_at","CNR1","cannabinoid receptor 1"
"1560226_at","HHLA2","HHLA2 member of B7 family"
"1560228_at","SNAI3","snail family transcriptional repressor 3"
"1560238_at","LINC01535","long intergenic non-protein coding RNA 1535"
"1560241_at","LOC101928682","uncharacterized LOC101928682"
"1560246_at","RETREG1-AS1","RETREG1 antisense RNA 1"
"1560251_at","LOC645485","uncharacterized LOC645485"
"1560253_at","LHX9","LIM homeobox 9"
"1560255_at","CELF2-AS1","CELF2 antisense RNA 1"
"1560257_at","LOC101928988","uncharacterized LOC101928988"
"1560260_at","LINC02995","long intergenic non-protein coding RNA 2995"
"1560274_at","WTAP","WT1 associated protein"
"1560275_at","TMEM44","transmembrane protein 44"
"1560276_at","LINC02874","long intergenic non-protein coding RNA 2874"
"1560278_at","LINC02685","long intergenic non-protein coding RNA 2685"
"1560281_a_at","TMEM95","transmembrane protein 95"
"1560282_at","GPM6A-DT","GPM6A divergent transcript"
"1560288_at","FSIP2-AS2","FSIP2 antisense RNA 2"
"1560291_at","RIPPLY1","ripply transcriptional repressor 1"
"1560292_a_at","TMCO4","transmembrane and coiled-coil domains 4"
"1560298_at","LINC02123","long intergenic non-protein coding RNA 2123"
"1560303_at","FKBP4","FKBP prolyl isomerase 4"
"1560315_at","GLCCI1","glucocorticoid induced 1"
"1560317_s_at","HIP1","huntingtin interacting protein 1"
"1560320_a_at","C1RL-AS1","C1RL antisense RNA 1"
"1560322_at","RBMS3","RNA binding motif single stranded interacting protein 3"
"1560325_at","KCNK10-AS1","KCNK10 antisense RNA 1"
"1560337_at","LINC01289","long intergenic non-protein coding RNA 1289"
"1560340_s_at","RP9P","RP9 pseudogene"
"1560352_at","ENTPD1-AS1","ENTPD1 antisense RNA 1"
"1560359_at","ITGA1","integrin subunit alpha 1"
"1560369_at","ANKH","ANKH inorganic pyrophosphate transport regulator"
"1560371_at","LINC00997","long intergenic non-protein coding RNA 997"
"1560380_at","LOC497256","uncharacterized LOC497256"
"1560383_at","LOC101928658","uncharacterized LOC101928658"
"1560391_at","PIGL","phosphatidylinositol glycan anchor biosynthesis class L"
"1560402_at","GAS5","growth arrest specific 5"
"1560404_a_at","DPH6","diphthamine biosynthesis 6"
"1560407_at","MARK1","microtubule affinity regulating kinase 1"
"1560410_at","LOC101928251","uncharacterized LOC101928251"
"1560412_at","ECI2-DT","ECI2 divergent transcript"
"1560413_at","LINC00298","long intergenic non-protein coding RNA 298"
"1560424_at","LOC105376037","uncharacterized LOC105376037"
"1560425_s_at","PTPRD-AS1","PTPRD antisense RNA 1"
"1560426_at","CFAP54","cilia and flagella associated protein 54"
"1560430_at","NKPD1","NTPase KAP family P-loop domain containing 1"
"1560431_at","PGM5P2","phosphoglucomutase 5 pseudogene 2"
"1560432_at","CLRN1-AS1","CLRN1 antisense RNA 1"
"1560434_x_at","CLTA","clathrin light chain A"
"1560439_at","LINGO3","leucine rich repeat and Ig domain containing 3"
"1560445_x_at","ARHGEF1","Rho guanine nucleotide exchange factor 1"
"1560446_at","IPO5P1","importin 5 pseudogene 1"
"1560448_at","PRR7-AS1","PRR7 antisense RNA 1"
"1560449_at","LOC101927543","uncharacterized LOC101927543"
"1560451_at","PKN3","protein kinase N3"
"1560455_at","LOC339166","uncharacterized LOC339166"
"1560455_at","WSCD1","WSC domain containing 1"
"1560456_at","PLIN5","perilipin 5"
"1560458_s_at","CAPS2","calcyphosine 2"
"1560463_at","LOC105379477","uncharacterized LOC105379477"
"1560464_at","TSPAN10","tetraspanin 10"
"1560469_at","NR5A2","nuclear receptor subfamily 5 group A member 2"
"1560472_at","LINC00705","long intergenic non-protein coding RNA 705"
