"PROBEID","SYMBOL","GENENAME"
"205807_s_at","TUFT1","tuftelin 1"
"205808_at","ASPH","aspartate beta-hydroxylase"
"205809_s_at","WASL","WASP like actin nucleation promoting factor"
"205811_at","POLG2","DNA polymerase gamma 2, accessory subunit"
"205812_s_at","SULT1C4","sulfotransferase family 1C member 4"
"205812_s_at","TMED9","transmembrane p24 trafficking protein 9"
"205813_s_at","MAT1A","methionine adenosyltransferase 1A"
"205814_at","GRM3","glutamate metabotropic receptor 3"
"205815_at","REG3A","regenerating family member 3 alpha"
"205816_at","ITGB8","integrin subunit beta 8"
"205817_at","SIX1","SIX homeobox 1"
"205818_at","BRINP1","BMP/retinoic acid inducible neural specific 1"
"205819_at","MARCO","macrophage receptor with collagenous structure"
"205820_s_at","APOC3","apolipoprotein C3"
"205821_at","KLRK1","killer cell lectin like receptor K1"
"205821_at","KLRC4-KLRK1","KLRC4-KLRK1 readthrough"
"205822_s_at","HMGCS1","3-hydroxy-3-methylglutaryl-CoA synthase 1"
"205823_at","RGS12","regulator of G protein signaling 12"
"205824_at","HSPB2","heat shock protein family B (small) member 2"
"205825_at","PCSK1","proprotein convertase subtilisin/kexin type 1"
"205826_at","MYOM2","myomesin 2"
"205827_at","CCK","cholecystokinin"
"205828_at","MMP3","matrix metallopeptidase 3"
"205829_at","HSD17B1","hydroxysteroid 17-beta dehydrogenase 1"
"205830_at","CLGN","calmegin"
"205831_at","CD2","CD2 molecule"
"205832_at","CPA4","carboxypeptidase A4"
"205833_s_at","PART1","prostate androgen-regulated transcript 1"
"205835_s_at","YTHDC2","YTH N6-methyladenosine RNA binding protein C2"
"205837_s_at","GYPA","glycophorin A (MNS blood group)"
"205839_s_at","TSPOAP1","TSPO associated protein 1"
"205840_x_at","GH1","growth hormone 1"
"205841_at","JAK2","Janus kinase 2"
"205843_x_at","CRAT","carnitine O-acetyltransferase"
"205844_at","VNN1","vanin 1"
"205845_at","CACNA1H","calcium voltage-gated channel subunit alpha1 H"
"205846_at","PTPRB","protein tyrosine phosphatase receptor type B"
"205847_at","PRSS22","serine protease 22"
"205848_at","GAS2","growth arrest specific 2"
"205849_s_at","UQCRB","ubiquinol-cytochrome c reductase binding protein"
"205850_s_at","GABRB3","gamma-aminobutyric acid type A receptor subunit beta3"
"205851_at","NME6","NME/NM23 nucleoside diphosphate kinase 6"
"205852_at","CDK5R2","cyclin dependent kinase 5 regulatory subunit 2"
"205853_at","ZBTB7B","zinc finger and BTB domain containing 7B"
"205854_at","TULP3","TUB like protein 3"
"205855_at","ZNF197","zinc finger protein 197"
"205856_at","SLC14A1","solute carrier family 14 member 1 (Kidd blood group)"
"205857_at","SLC18A2","solute carrier family 18 member A2"
"205858_at","NGFR","nerve growth factor receptor"
"205859_at","LY86","lymphocyte antigen 86"
"205860_x_at","FOLH1","folate hydrolase 1"
"205860_x_at","FOLH1B","folate hydrolase 1B (pseudogene)"
"205861_at","SPIB","Spi-B transcription factor"
"205862_at","GREB1","growth regulating estrogen receptor binding 1"
"205863_at","S100A12","S100 calcium binding protein A12"
"205864_at","SLC7A4","solute carrier family 7 member 4"
"205865_at","ARID3A","AT-rich interaction domain 3A"
"205866_at","FCN3","ficolin 3"
"205867_at","PTPN11","protein tyrosine phosphatase non-receptor type 11"
"205869_at","PRSS1","serine protease 1"
"205870_at","BDKRB2","bradykinin receptor B2"
"205871_at","PLGLB2","plasminogen like B2"
"205871_at","PLGLB1","plasminogen like B1"
"205872_x_at","PDE4DIP","phosphodiesterase 4D interacting protein"
"205873_at","PIGL","phosphatidylinositol glycan anchor biosynthesis class L"
"205874_at","ITPKA","inositol-trisphosphate 3-kinase A"
"205875_s_at","TREX1","three prime repair exonuclease 1"
"205876_at","LIFR","LIF receptor subunit alpha"
"205877_s_at","ZC3H7B","zinc finger CCCH-type containing 7B"
"205878_at","POU6F1","POU class 6 homeobox 1"
"205879_x_at","RET","ret proto-oncogene"
"205880_at","PRKD1","protein kinase D1"
"205881_at","ZNF74","zinc finger protein 74"
"205883_at","ZBTB16","zinc finger and BTB domain containing 16"
"205884_at","ITGA4","integrin subunit alpha 4"
"205886_at","REG1B","regenerating family member 1 beta"
"205887_x_at","MSH3","mutS homolog 3"
"205888_s_at","JAKMIP2","janus kinase and microtubule interacting protein 2"
"205890_s_at","UBD","ubiquitin D"
"205891_at","ADORA2B","adenosine A2b receptor"
"205892_s_at","FABP1","fatty acid binding protein 1"
"205893_at","NLGN1","neuroligin 1"
"205894_at","ARSL","arylsulfatase L"
"205895_s_at","NOLC1","nucleolar and coiled-body phosphoprotein 1"
"205896_at","SLC22A4","solute carrier family 22 member 4"
"205897_at","NFATC4","nuclear factor of activated T cells 4"
"205898_at","CX3CR1","C-X3-C motif chemokine receptor 1"
"205899_at","CCNA1","cyclin A1"
"205900_at","KRT1","keratin 1"
"205901_at","PNOC","prepronociceptin"
"205902_at","KCNN3","potassium calcium-activated channel subfamily N member 3"
"205904_at","MICA","MHC class I polypeptide-related sequence A"
"205905_s_at","MICB","MHC class I polypeptide-related sequence B"
"205906_at","FOXJ1","forkhead box J1"
"205907_s_at","OMD","osteomodulin"
"205909_at","POLE2","DNA polymerase epsilon 2, accessory subunit"
"205910_s_at","CEL","carboxyl ester lipase"
"205911_at","PTH1R","parathyroid hormone 1 receptor"
"205912_at","PNLIP","pancreatic lipase"
"205913_at","PLIN1","perilipin 1"
"205914_s_at","GRIN1","glutamate ionotropic receptor NMDA type subunit 1"
"205916_at","S100A7","S100 calcium binding protein A7"
"205917_at","ZNF264","zinc finger protein 264"
"205918_at","SLC4A3","solute carrier family 4 member 3"
"205919_at","HBE1","hemoglobin subunit epsilon 1"
"205920_at","SLC6A6","solute carrier family 6 member 6"
"205922_at","VNN2","vanin 2"
"205923_at","RELN","reelin"
"205924_at","RAB3B","RAB3B, member RAS oncogene family"
"205926_at","IL27RA","interleukin 27 receptor subunit alpha"
"205927_s_at","CTSE","cathepsin E"
"205928_at","ZNF443","zinc finger protein 443"
"205929_at","GPA33","glycoprotein A33"
"205930_at","GTF2E1","general transcription factor IIE subunit 1"
"205931_s_at","CREB5","cAMP responsive element binding protein 5"
"205932_s_at","MSX1","msh homeobox 1"
"205933_at","SETBP1","SET binding protein 1"
"205934_at","PLCL1","phospholipase C like 1 (inactive)"
"205935_at","FOXF1","forkhead box F1"
"205936_s_at","HK3","hexokinase 3"
"205937_at","CGREF1","cell growth regulator with EF-hand domain 1"
"205938_at","PPM1E","protein phosphatase, Mg2+/Mn2+ dependent 1E"
"205939_at","CYP3A7","cytochrome P450 family 3 subfamily A member 7"
"205940_at","MYH3","myosin heavy chain 3"
"205941_s_at","COL10A1","collagen type X alpha 1 chain"
"205942_s_at","ACSM3","acyl-CoA synthetase medium chain family member 3"
"205943_at","TDO2","tryptophan 2,3-dioxygenase"
"205944_s_at","CLTCL1","clathrin heavy chain like 1"
"205945_at","IL6R","interleukin 6 receptor"
"205946_at","VIPR2","vasoactive intestinal peptide receptor 2"
"205948_at","PTPRT","protein tyrosine phosphatase receptor type T"
"205949_at","CA1","carbonic anhydrase 1"
"205951_at","MYH1","myosin heavy chain 1"
"205952_at","KCNK3","potassium two pore domain channel subfamily K member 3"
"205953_at","LRIG2","leucine rich repeats and immunoglobulin like domains 2"
"205954_at","RXRG","retinoid X receptor gamma"
"205956_x_at","PSMC3IP","PSMC3 interacting protein"
"205957_at","PLXNB3","plexin B3"
"205959_at","MMP13","matrix metallopeptidase 13"
"205960_at","PDK4","pyruvate dehydrogenase kinase 4"
"205961_s_at","PSIP1","PC4 and SRSF1 interacting protein 1"
"205962_at","PAK2","p21 (RAC1) activated kinase 2"
"205963_s_at","DNAJA3","DnaJ heat shock protein family (Hsp40) member A3"
"205964_at","ZNF426","zinc finger protein 426"
"205965_at","BATF","basic leucine zipper ATF-like transcription factor"
"205966_at","TAF13","TATA-box binding protein associated factor 13"
"205967_at","H4C3","H4 clustered histone 3"
"205968_at","KCNS3","potassium voltage-gated channel modifier subfamily S member 3"
"205969_at","AADAC","arylacetamide deacetylase"
"205970_at","MT3","metallothionein 3"
"205971_s_at","CTRB1","chymotrypsinogen B1"
"205971_s_at","CTRB2","chymotrypsinogen B2"
"205972_at","SLC38A3","solute carrier family 38 member 3"
"205974_at","HOXD1","homeobox D1"
"205974_at","MIR7704","microRNA 7704"
"205976_at","FASTKD2","FAST kinase domains 2"
"205977_s_at","EPHA1","EPH receptor A1"
"205978_at","KL","klotho"
"205979_at","SCGB2A1","secretoglobin family 2A member 1"
"205980_s_at","PRR5","proline rich 5"
"205980_s_at","ARHGAP8","Rho GTPase activating protein 8"
"205980_s_at","PRR5-ARHGAP8","PRR5-ARHGAP8 readthrough"
"205981_s_at","ING2","inhibitor of growth family member 2"
"205982_x_at","SFTPC","surfactant protein C"
"205983_at","DPEP1","dipeptidase 1"
"205984_at","CRHBP","corticotropin releasing hormone binding protein"
"205985_x_at","CLCNKB","chloride voltage-gated channel Kb"
"205986_at","AATK","apoptosis associated tyrosine kinase"
"205987_at","CD1C","CD1c molecule"
"205988_at","CD84","CD84 molecule"
"205989_s_at","MOG","myelin oligodendrocyte glycoprotein"
"205990_s_at","WNT5A","Wnt family member 5A"
"205991_s_at","PRRX1","paired related homeobox 1"
"205992_s_at","IL15","interleukin 15"
"205993_s_at","TBX2","T-box transcription factor 2"
"205994_at","ELK4","ETS transcription factor ELK4"
"205995_x_at","IQCB1","IQ motif containing B1"
"205996_s_at","AK2","adenylate kinase 2"
"205997_at","ADAM28","ADAM metallopeptidase domain 28"
"205998_x_at","CYP3A4","cytochrome P450 family 3 subfamily A member 4"
"206000_at","MEP1A","meprin A subunit alpha"
"206001_at","NPY","neuropeptide Y"
"206002_at","ADGRG2","adhesion G protein-coupled receptor G2"
"206003_at","CEP135","centrosomal protein 135"
"206004_at","TGM3","transglutaminase 3"
"206005_s_at","CEP162","centrosomal protein 162"
"206007_at","PRG4","proteoglycan 4"
"206008_at","TGM1","transglutaminase 1"
"206009_at","ITGA9","integrin subunit alpha 9"
"206010_at","HABP2","hyaluronan binding protein 2"
"206011_at","CASP1","caspase 1"
"206012_at","LEFTY2","left-right determination factor 2"
"206013_s_at","ACTL6B","actin like 6B"
"206015_s_at","FOXJ3","forkhead box J3"
"206016_at","CCDC22","coiled-coil domain containing 22"
"206017_at","KIAA0319","KIAA0319"
"206018_at","FOXG1","forkhead box G1"
"206020_at","SOCS6","suppressor of cytokine signaling 6"
"206021_at","SCAND2P","SCAN domain containing 2 pseudogene"
"206022_at","NDP","norrin cystine knot growth factor NDP"
"206023_at","NMU","neuromedin U"
"206024_at","HPD","4-hydroxyphenylpyruvate dioxygenase"
"206025_s_at","TNFAIP6","TNF alpha induced protein 6"
"206027_at","S100A3","S100 calcium binding protein A3"
"206028_s_at","MERTK","MER proto-oncogene, tyrosine kinase"
"206029_at","ANKRD1","ankyrin repeat domain 1"
"206030_at","ASPA","aspartoacylase"
"206031_s_at","USP5","ubiquitin specific peptidase 5"
"206032_at","DSC3","desmocollin 3"
"206034_at","SERPINB8","serpin family B member 8"
"206035_at","REL","REL proto-oncogene, NF-kB subunit"
"206037_at","KYAT1","kynurenine aminotransferase 1"
"206038_s_at","NR2C2","nuclear receptor subfamily 2 group C member 2"
"206039_at","RAB33A","RAB33A, member RAS oncogene family"
"206040_s_at","MAPK11","mitogen-activated protein kinase 11"
"206043_s_at","ATP2C2","ATPase secretory pathway Ca2+ transporting 2"
"206044_s_at","BRAF","B-Raf proto-oncogene, serine/threonine kinase"
"206044_s_at","KIAA1549","KIAA1549"
"206045_s_at","NOL4","nucleolar protein 4"
"206046_at","ADAM23","ADAM metallopeptidase domain 23"
"206047_at","GNB3","G protein subunit beta 3"
"206048_at","OVOL2","ovo like zinc finger 2"
"206049_at","SELP","selectin P"
"206050_s_at","RNH1","ribonuclease/angiogenin inhibitor 1"
"206051_at","ELAVL4","ELAV like RNA binding protein 4"
"206052_s_at","SLBP","stem-loop histone mRNA binding protein"
"206053_at","ZNF510","zinc finger protein 510"
"206054_at","KNG1","kininogen 1"
"206055_s_at","SNRPA1","small nuclear ribonucleoprotein polypeptide A'"
"206056_x_at","SPN","sialophorin"
"206058_at","SLC6A12","solute carrier family 6 member 12"
"206059_at","ZNF91","zinc finger protein 91"
"206060_s_at","PTPN22","protein tyrosine phosphatase non-receptor type 22"
"206061_s_at","DICER1","dicer 1, ribonuclease III"
"206063_x_at","PPIL2","peptidylprolyl isomerase like 2"
"206065_s_at","DPYS","dihydropyrimidinase"
"206066_s_at","RAD51C","RAD51 paralog C"
"206067_s_at","WT1","WT1 transcription factor"
"206068_s_at","ACADL","acyl-CoA dehydrogenase long chain"
"206070_s_at","EPHA3","EPH receptor A3"
"206072_at","UCN","urocortin"
"206073_at","COLQ","collagen like tail subunit of asymmetric acetylcholinesterase"
"206074_s_at","HMGA1","high mobility group AT-hook 1"
"206075_s_at","CSNK2A1","casein kinase 2 alpha 1"
"206076_at","LRRC23","leucine rich repeat containing 23"
"206077_at","KEL","Kell metallo-endopeptidase (Kell blood group)"
"206079_at","CHML","CHM like Rab escort protein"
"206080_at","PLCH2","phospholipase C eta 2"
"206081_at","SLC24A1","solute carrier family 24 member 1"
"206082_at","HCP5","HLA complex P5"
"206083_at","ADGRB1","adhesion G protein-coupled receptor B1"
"206084_at","PTPRR","protein tyrosine phosphatase receptor type R"
"206085_s_at","CTH","cystathionine gamma-lyase"
"206086_x_at","HFE","homeostatic iron regulator"
"206088_at","LRRC37A","leucine rich repeat containing 37A"
"206088_at","LRRC37A3","leucine rich repeat containing 37 member A3"
"206088_at","LRRC37A2","leucine rich repeat containing 37 member A2"
"206089_at","NELL1","neural EGFL like 1"
"206090_s_at","DISC1","DISC1 scaffold protein"
"206090_s_at","TSNAX-DISC1","TSNAX-DISC1 readthrough (NMD candidate)"
"206091_at","MATN3","matrilin 3"
"206092_x_at","RTEL1","regulator of telomere elongation helicase 1"
"206092_x_at","RTEL1-TNFRSF6B","RTEL1-TNFRSF6B readthrough (NMD candidate)"
"206093_x_at","TNXA","tenascin XA (pseudogene)"
"206093_x_at","TNXB","tenascin XB"
"206094_x_at","UGT1A7","UDP glucuronosyltransferase family 1 member A7"
"206094_x_at","UGT1A5","UDP glucuronosyltransferase family 1 member A5"
"206094_x_at","UGT1A3","UDP glucuronosyltransferase family 1 member A3"
"206096_at","ZNF35","zinc finger protein 35"
"206097_at","SLC22A18AS","SLC22A18 antisense RNA"
"206098_at","ZBTB6","zinc finger and BTB domain containing 6"
"206099_at","PRKCH","protein kinase C eta"
"206100_at","CPM","carboxypeptidase M"
"206101_at","ECM2","extracellular matrix protein 2"
"206102_at","GINS1","GINS complex subunit 1"
"206103_at","RAC3","Rac family small GTPase 3"
"206104_at","ISL1","ISL LIM homeobox 1"
"206105_at","AFF2","ALF transcription elongation factor 2"
"206106_at","MAPK12","mitogen-activated protein kinase 12"
"206107_at","RGS11","regulator of G protein signaling 11"
"206108_s_at","SRSF6","serine and arginine rich splicing factor 6"
"206109_at","FUT1","fucosyltransferase 1 (H blood group)"
"206110_at","H3C10","H3 clustered histone 10"
"206111_at","RNASE2","ribonuclease A family member 2"
"206112_at","ANKRD7","ankyrin repeat domain 7"
"206113_s_at","RAB5A","RAB5A, member RAS oncogene family"
"206114_at","EPHA4","EPH receptor A4"
"206115_at","EGR3","early growth response 3"
"206116_s_at","TPM1","tropomyosin 1"
"206118_at","STAT4","signal transducer and activator of transcription 4"
"206119_at","BHMT","betaine--homocysteine S-methyltransferase"
"206120_at","CD33","CD33 molecule"
"206121_at","AMPD1","adenosine monophosphate deaminase 1"
"206122_at","SOX15","SRY-box transcription factor 15"
"206123_at","LLGL1","LLGL scribble cell polarity complex component 1"
"206125_s_at","KLK8","kallikrein related peptidase 8"
"206126_at","CXCR5","C-X-C motif chemokine receptor 5"
"206127_at","ELK3","ETS transcription factor ELK3"
"206128_at","ADRA2C","adrenoceptor alpha 2C"
"206129_s_at","ARSB","arylsulfatase B"
"206130_s_at","ASGR2","asialoglycoprotein receptor 2"
"206131_at","CLPS","colipase"
"206132_at","MCC","MCC regulator of WNT signaling pathway"
"206133_at","XAF1","XIAP associated factor 1"
"206134_at","ADAMDEC1","ADAM like decysin 1"
"206135_at","ST18","ST18 C2H2C-type zinc finger transcription factor"
"206136_at","FZD5","frizzled class receptor 5"
"206137_at","RIMS2","regulating synaptic membrane exocytosis 2"
"206138_s_at","PI4KB","phosphatidylinositol 4-kinase beta"
"206140_at","LHX2","LIM homeobox 2"
"206141_at","MOCS3","molybdenum cofactor synthesis 3"
"206142_at","ZNF135","zinc finger protein 135"
"206143_at","SLC26A3","solute carrier family 26 member 3"
"206144_at","MAGI1","membrane associated guanylate kinase, WW and PDZ domain containing 1"
"206145_at","RHAG","Rh associated glycoprotein"
"206147_x_at","SCML2","Scm polycomb group protein like 2"
"206148_at","IL3RA","interleukin 3 receptor subunit alpha"
"206149_at","CHP2","calcineurin like EF-hand protein 2"
"206150_at","CD27","CD27 molecule"
"206151_x_at","CELA3B","chymotrypsin like elastase 3B"
"206152_at","AGAP2","ArfGAP with GTPase domain, ankyrin repeat and PH domain 2"
"206153_at","CYP4F11","cytochrome P450 family 4 subfamily F member 11"
"206154_at","RLBP1","retinaldehyde binding protein 1"
"206155_at","ABCC2","ATP binding cassette subfamily C member 2"
"206156_at","GJB5","gap junction protein beta 5"
"206157_at","PTX3","pentraxin 3"
"206158_s_at","CNBP","CCHC-type zinc finger nucleic acid binding protein"
"206159_at","GDF10","growth differentiation factor 10"
"206160_at","APOBEC2","apolipoprotein B mRNA editing enzyme catalytic subunit 2"
"206161_s_at","SYT5","synaptotagmin 5"
"206163_at","MAB21L1","mab-21 like 1"
"206163_at","MIR548F5","microRNA 548f-5"
"206164_at","CLCA2","chloride channel accessory 2"
"206167_s_at","ARHGAP6","Rho GTPase activating protein 6"
"206170_at","ADRB2","adrenoceptor beta 2"
"206171_at","ADORA3","adenosine A3 receptor"
"206172_at","IL13RA2","interleukin 13 receptor subunit alpha 2"
"206175_x_at","ZNF222","zinc finger protein 222"
"206176_at","BMP6","bone morphogenetic protein 6"
"206177_s_at","ARG1","arginase 1"
"206178_at","PLA2G5","phospholipase A2 group V"
"206179_s_at","TPPP","tubulin polymerization promoting protein"
"206180_x_at","ZNF747","zinc finger protein 747"
"206181_at","SLAMF1","signaling lymphocytic activation molecule family member 1"
"206182_at","ZNF134","zinc finger protein 134"
"206183_s_at","HERC3","HECT and RLD domain containing E3 ubiquitin protein ligase 3"
"206183_s_at","PIGY-DT","PIGY divergent transcript"
"206184_at","CRKL","CRK like proto-oncogene, adaptor protein"
"206185_at","CRYBB1","crystallin beta B1"
"206186_at","MPP3","MAGUK p55 scaffold protein 3"
"206187_at","PTGIR","prostaglandin I2 receptor"
"206188_at","ZNF623","zinc finger protein 623"
"206189_at","UNC5C","unc-5 netrin receptor C"
"206190_at","GPR17","G protein-coupled receptor 17"
"206191_at","ENTPD3","ectonucleoside triphosphate diphosphohydrolase 3"
"206192_at","CDSN","corneodesmosin"
"206194_at","HOXC4","homeobox C4"
"206195_x_at","GH2","growth hormone 2"
"206196_s_at","RUNDC3A","RUN domain containing 3A"
"206197_at","NME5","NME/NM23 family member 5"
"206198_s_at","CEACAM7","CEA cell adhesion molecule 7"
"206200_s_at","ANXA11","annexin A11"
"206201_s_at","MEOX2","mesenchyme homeobox 2"
"206203_at","RCVRN","recoverin"
"206204_at","GRB14","growth factor receptor bound protein 14"
"206205_at","MPHOSPH9","M-phase phosphoprotein 9"
"206206_at","CD180","CD180 molecule"
"206207_at","CLC","Charcot-Leyden crystal galectin"
"206208_at","CA4","carbonic anhydrase 4"
"206210_s_at","CETP","cholesteryl ester transfer protein"
"206211_at","SELE","selectin E"
"206212_at","CPA2","carboxypeptidase A2"
"206213_at","WNT10B","Wnt family member 10B"
"206214_at","PLA2G7","phospholipase A2 group VII"
"206215_at","OPCML","opioid binding protein/cell adhesion molecule like"
"206216_at","SRPK3","SRSF protein kinase 3"
"206217_at","EDA","ectodysplasin A"
"206218_at","MAGEB2","MAGE family member B2"
"206219_s_at","VAV1","vav guanine nucleotide exchange factor 1"
"206220_s_at","RASA3","RAS p21 protein activator 3"
"206222_at","TNFRSF10C","TNF receptor superfamily member 10c"
"206223_at","LMTK2","lemur tyrosine kinase 2"
"206224_at","CST1","cystatin SN"
"206225_at","ZNF507","zinc finger protein 507"
"206226_at","HRG","histidine rich glycoprotein"
"206227_at","CILP","cartilage intermediate layer protein"
"206228_at","PAX2","paired box 2"
"206230_at","LHX1","LIM homeobox 1"
"206231_at","KCNN1","potassium calcium-activated channel subfamily N member 1"
"206232_s_at","B4GALT6","beta-1,4-galactosyltransferase 6"
"206234_s_at","MMP17","matrix metallopeptidase 17"
"206235_at","LIG4","DNA ligase 4"
"206236_at","GPR4","G protein-coupled receptor 4"
"206237_s_at","NRG1","neuregulin 1"
"206238_s_at","YAF2","YY1 associated factor 2"
"206239_s_at","SPINK1","serine peptidase inhibitor Kazal type 1"
"206240_s_at","ZNF136","zinc finger protein 136"
"206241_at","KPNA5","karyopherin subunit alpha 5"
"206242_at","TM4SF5","transmembrane 4 L six family member 5"
"206243_at","TIMP4","TIMP metallopeptidase inhibitor 4"
"206244_at","CR1","complement C3b/C4b receptor 1 (Knops blood group)"
"206246_at","PFKFB4","6-phosphofructo-2-kinase/fructose-2,6-biphosphatase 4"
"206248_at","PRKCE","protein kinase C epsilon"
"206249_at","MAP3K13","mitogen-activated protein kinase kinase kinase 13"
"206250_x_at","AVPR1A","arginine vasopressin receptor 1A"
"206253_at","DLG2","discs large MAGUK scaffold protein 2"
"206254_at","EGF","epidermal growth factor"
"206255_at","BLK","BLK proto-oncogene, Src family tyrosine kinase"
"206256_at","CPN1","carboxypeptidase N subunit 1"
"206257_at","CCDC9","coiled-coil domain containing 9"
"206258_at","ST8SIA5","ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 5"
"206259_at","PROC","protein C, inactivator of coagulation factors Va and VIIIa"
"206260_at","TGM4","transglutaminase 4"
"206261_at","ZNF239","zinc finger protein 239"
"206262_at","ADH1C","alcohol dehydrogenase 1C (class I), gamma polypeptide"
"206263_at","FMO4","flavin containing dimethylaniline monoxygenase 4"
"206264_at","GPLD1","glycosylphosphatidylinositol specific phospholipase D1"
"206267_s_at","MATK","megakaryocyte-associated tyrosine kinase"
"206268_at","LEFTY1","left-right determination factor 1"
"206269_at","GCM1","glial cells missing transcription factor 1"
"206270_at","PRKCG","protein kinase C gamma"
"206271_at","TLR3","toll like receptor 3"
"206273_at","PRELID3A","PRELI domain containing 3A"
"206274_s_at","CROCC","ciliary rootlet coiled-coil, rootletin"
"206275_s_at","MICAL2","microtubule associated monooxygenase, calponin and LIM domain containing 2"
"206276_at","LY6D","lymphocyte antigen 6 family member D"
"206277_at","P2RY2","purinergic receptor P2Y2"
"206278_at","PTAFR","platelet activating factor receptor"
"206280_at","CDH18","cadherin 18"
"206281_at","ADCYAP1","adenylate cyclase activating polypeptide 1"
"206282_at","NEUROD1","neuronal differentiation 1"
"206283_s_at","TAL1","TAL bHLH transcription factor 1, erythroid differentiation factor"
"206285_at","NPHP1","nephrocystin 1"
"206286_s_at","CRIPTO","cripto, EGF-CFC family member"
"206286_s_at","CRIPTO3","cripto, EGF-CFC family member 3"
"206287_s_at","ITIH4","inter-alpha-trypsin inhibitor heavy chain 4"
"206288_at","PGGT1B","protein geranylgeranyltransferase type I subunit beta"
"206289_at","HOXA4","homeobox A4"
"206290_s_at","RGS7","regulator of G protein signaling 7"
"206291_at","NTS","neurotensin"
"206292_s_at","SULT2A1","sulfotransferase family 2A member 1"
"206294_at","HSD3B2","hydroxy-delta-5-steroid dehydrogenase, 3 beta- and steroid delta-isomerase 2"
"206295_at","IL18","interleukin 18"
"206296_x_at","MAP4K1","mitogen-activated protein kinase kinase kinase kinase 1"
"206297_at","CTRC","chymotrypsin C"
"206298_at","ARHGAP22","Rho GTPase activating protein 22"
"206299_at","NALF2","NALCN channel auxiliary factor 2"
"206300_s_at","PTHLH","parathyroid hormone like hormone"
"206301_at","TEC","tec protein tyrosine kinase"
"206302_s_at","NUDT4","nudix hydrolase 4"
"206302_s_at","NUDT4P2","nudix hydrolase 4 pseudogene 2"
"206302_s_at","NUDT4B","nudix hydrolase 4B"
"206304_at","MYBPH","myosin binding protein H"
"206305_s_at","C8A","complement C8 alpha chain"
"206306_at","RYR3","ryanodine receptor 3"
"206307_s_at","FOXD1","forkhead box D1"
"206308_at","TRDMT1","tRNA aspartic acid methyltransferase 1"
"206309_at","CNMD","chondromodulin"
"206310_at","SPINK2","serine peptidase inhibitor Kazal type 2"
"206311_s_at","PLA2G1B","phospholipase A2 group IB"
"206312_at","GUCY2C","guanylate cyclase 2C"
"206313_at","HLA-DOA","major histocompatibility complex, class II, DO alpha"
"206314_at","ZKSCAN7","zinc finger with KRAB and SCAN domains 7"
"206315_at","CRLF1","cytokine receptor like factor 1"
"206316_s_at","KNTC1","kinetochore associated 1"
"206317_s_at","ABCB8","ATP binding cassette subfamily B member 8"
"206318_at","EPPIN","epididymal peptidase inhibitor"
"206320_s_at","SMAD9","SMAD family member 9"
"206321_at","RFX1","regulatory factor X1"
"206322_at","SYN3","synapsin III"
"206323_x_at","OPHN1","oligophrenin 1"
"206324_s_at","DAPK2","death associated protein kinase 2"
"206325_at","SERPINA6","serpin family A member 6"
"206326_at","GRP","gastrin releasing peptide"
"206327_s_at","CDH15","cadherin 15"
"206329_at","EXTL1","exostosin like glycosyltransferase 1"
"206330_s_at","SHC3","SHC adaptor protein 3"
"206331_at","CALCRL","calcitonin receptor like receptor"
"206332_s_at","IFI16","interferon gamma inducible protein 16"
"206333_at","MSI1","musashi RNA binding protein 1"
"206334_at","LIPF","lipase F, gastric type"
"206335_at","GALNS","galactosamine (N-acetyl)-6-sulfatase"
"206336_at","CXCL6","C-X-C motif chemokine ligand 6"
"206337_at","CCR7","C-C motif chemokine receptor 7"
"206338_at","ELAVL3","ELAV like RNA binding protein 3"
"206339_at","CARTPT","CART prepropeptide"
"206340_at","NR1H4","nuclear receptor subfamily 1 group H member 4"
"206341_at","IL2RA","interleukin 2 receptor subunit alpha"
"206344_at","PON1","paraoxonase 1"
"206346_at","PRLR","prolactin receptor"
"206347_at","PDK3","pyruvate dehydrogenase kinase 3"
"206349_at","LGI1","leucine rich glioma inactivated 1"
"206350_at","APCS","amyloid P component, serum"
"206351_s_at","PEX10","peroxisomal biogenesis factor 10"
"206353_at","COX6A2","cytochrome c oxidase subunit 6A2"
"206354_at","SLCO1B3","solute carrier organic anion transporter family member 1B3"
"206355_at","GNAL","G protein subunit alpha L"
"206357_at","OPA3","outer mitochondrial membrane lipid metabolism regulator OPA3"
"206358_at","PRM1","protamine 1"
"206359_at","SOCS3","suppressor of cytokine signaling 3"
"206361_at","PTGDR2","prostaglandin D2 receptor 2"
"206362_x_at","MAP3K10","mitogen-activated protein kinase kinase kinase 10"
"206363_at","MAF","MAF bZIP transcription factor"
"206364_at","KIF14","kinesin family member 14"
"206365_at","XCL1","X-C motif chemokine ligand 1"
"206367_at","REN","renin"
"206368_at","CPLX2","complexin 2"
"206369_s_at","PIK3CG","phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit gamma"
"206371_at","FOLR3","folate receptor gamma"
"206372_at","MYF6","myogenic factor 6"
"206373_at","ZIC1","Zic family member 1"
"206374_at","DUSP8","dual specificity phosphatase 8"
"206375_s_at","HSPB3","heat shock protein family B (small) member 3"
"206376_at","SLC6A15","solute carrier family 6 member 15"
"206377_at","FOXF2","forkhead box F2"
"206378_at","SCGB2A2","secretoglobin family 2A member 2"
"206379_at","EYA3","EYA transcriptional coactivator and phosphatase 3"
